Documento 0:
Índice	Término			TF	IDF	TF-IDF
166	sunnier			0	1.00000	0.00000	
167	preserved		0	1.00000	0.00000	
168	peach			0	1.00000	0.00000	
169	off-dry			0	1.00000	0.00000	
170	an			0	1.00000	0.00000	
171	elegant			0	1.00000	0.00000	
172	sprightly		0	1.00000	0.00000	
173	footprint		0	1.00000	0.00000	
174	has			0	1.00000	0.00000	
175	great			0	1.00000	0.00000	
176	depth			0	1.00000	0.00000	
177	flavor			0	1.00000	0.00000	
178	its			0	1.00000	0.00000	
179	pear			0	1.00000	0.00000	
180	touch			0	1.00000	0.00000	
181	drink			0	1.00000	0.00000	
182	now			0	1.00000	0.00000	


Documento 4:
Índice	Término			TF	IDF	TF-IDF
0	aromas			0	0.39794	0.00000	
1	include			0	1.00000	0.00000	
2	tropical		0	1.00000	0.00000	
3	fruit			0	0.69897	0.00000	
4	broom			0	1.00000	0.00000	
5	brimstone		0	1.00000	0.00000	
6	and			1	0.00000	0.00000	
7	dried			0	0.69897	0.00000	
8	herb			0	0.69897	0.00000	
9	the			1	0.22185	0.22185	
10	palate			0	0.52288	0.00000	
11	isn't			0	1.00000	0.00000	
12	overly			0	1.00000	0.00000	
13	expressive		0	1.00000	0.00000	
14	offering		0	1.00000	0.00000	
15	unripened		0	1.00000	0.00000	
16	apple			0	0.69897	0.00000	
